,Avg group similarity,NOS 1,NOS 2
Pair 940,0.85,"[fspfc07] ""Manage the quality of decisions to offer financing and credit facilities"" (""fspfc07.pdf"", Current, Original)","[fspfc07] ""Manage the quality of decisions to offer financing and credit facilities legacy"" (""fspfc07l.pdf"", Legacy, Original)"
Pair 941,0.85,"[eusmund8] ""Use technical information to review utility network detailed drawings"" (""eusmund8.pdf"", Current, Original)","[eusmund8] ""Use technical information to review utility network detailed drawings"" (""eusmund8l.pdf"", Current, Original)"
Pair 942,0.85,"[eusdsg3.17] ""Strength testing, gas tightness testing and direct purging "" (""eusdsg3.17.pdf"", Current, Original)","[eusdsg3.6] ""Gas tightness testing and direct purging "" (""eusdsg3.6.pdf"", Current, Original)"
Pair 943,0.85,"[cogsm18] ""Unit 18: manipulate the sign layout and produce graphical image for road traffic signs"" (""cogsm18.pdf"", Current, Original)","[cogsm19] ""Unit 19: create sign layout and produce graphical image for commercial signs"" (""cogsm19.pdf"", Current, Original)"
Pair 944,0.85,"[semae3355] ""Contributing to making decisions in a continuing airworthiness environment"" (""semae3355.pdf"", Current, Original)","[semcaw407] ""Make management decisions in a continuing airworthiness environment"" (""semcaw407.pdf"", Current, Original)"
Pair 945,0.85,"[cfamld15] ""Initiate and follow grievance procedure"" (""cfamld15.pdf"", Current, Original)","[sfjccba7.2] ""Initiate and follow grievance procedure"" (""sfjccba7.2.pdf"", Current, Tailored)"
Pair 946,0.85,"[sfsinv4] ""Interview suspects to collect information"" (""sfsinv4.pdf"", Current, Original)","[sfsinv4l] ""Interview suspects to collect information legacy"" (""sfsinv4l.pdf"", Legacy, Original)"
Pair 947,0.85,"[schdhsc0347 ] ""Help individuals to access employment"" (""scdhsc0347.pdf"", Current, Original)","[scdhsc0348] ""Support individuals to access learning, training and development opportunities"" (""scdhsc0348.pdf"", Current, Original)"
Pair 948,0.85,"[asto18] ""Contribute to and process property agreements"" (""asto18.pdf"", Current, Original)","[astspm3o18] ""Contribute to and process property agreements within a surveying environment"" (""astspm3o18.pdf"", Current, Original)"
Pair 949,0.85,"[cogesa2.13 ] ""Assess the suitability of explosives facilities"" (""cogesa2.13 .pdf"", Current, Original)","[cogesa3.2.8a] ""Assess the suitability of explosives facilities"" (""cogesa3.2.8a.pdf"", Current, Original)"
Pair 950,0.85,"[fspio11] ""Process corporate actions on behalf of investors"" (""fspio11.pdf"", Current, Original)","[fspio11] ""Process corporate actions on behalf of investors legacy"" (""fspio11l.pdf"", Legacy, Original)"
Pair 951,0.85,"[impem130k] ""Understand how to assist in the installation of equipment to produce an engineered system in food and drink operations"" (""impem130k.pdf"", Current, Original)","[impem160k] ""Understand how to assist in the installation of engineering services equipment used in food and drink operations"" (""impem160k.pdf"", Current, Original)"
Pair 952,0.85,"[sfjdc4] ""Maintain public order and protocols at courts and tribunals"" (""sfjdc4.pdf"", Current, Original)","[sfjdc4] ""Maintain public order and protocols at courts and tribunals"" (""sfjdc4l.pdf"", Current, Original)"
Pair 953,0.85,"[semem4-04] ""Identifying engineering design requirements of clients"" (""semem404.pdf"", Current, Original)","[semeng314] ""Assist in identifying engineering design requirements of clients"" (""semeng314.pdf"", Current, Original)"
Pair 954,0.85,"[euswm51l] ""Monitor and maintain environmental conditions in your area of responsibility legacy"" (""euswm51.pdf"", Legacy, Imported)","[propo16] ""Conform to general workplace environmental requirements"" (""propo16.pdf"", Current, Original)"
Pair 955,0.845,"[cfam4.5.3] ""Implement sales promotion activity"" (""cfam4.5.3.pdf"", Current, Original)","[cfam4.7.3] ""Implement business to business motivation activity"" (""cfam4.7.3.pdf"", Current, Original)"
Pair 956,0.845,"[cogesa2.7] ""Review safety control measures for specific explosive substances and/or articles"" (""cogesa2.7.pdf"", Current, Original)","[cogesa3.2.4a] ""Review safety control measures for specific explosive substances and/or articles"" (""cogesa3.2.4a.pdf"", Current, Original)"
Pair 957,0.845,"[pplemtsd9] ""Manage the setup and breakdown of an event "" (""pplemtsd9.pdf"", Current, Original)","[pplevc9] ""Manage the setup and breakdown of an event"" (""pplevc9.pdf"", Current, Original)"
Pair 958,0.845,"[semae3350] ""Providing technical advice and guidance on continuing airworthiness certification activities"" (""semae3350.pdf"", Current, Original)","[semcaw402] ""Provide and manage technical advice and guidance on continuing airworthiness management and review activities"" (""semcaw402.pdf"", Current, Original)"
Pair 959,0.845,"[cfamlb12] ""Promote equality of opportunity, diversity and inclusion in your organisation"" (""cfamlb12.pdf"", Current, Original)","[sfjpsg4.2.2] ""Promote equality of opportunity, diversity and inclusion in your"" (""sfjpsg4.2.2.pdf"", Current, Imported)"
Pair 960,0.845,"[ccsau32] ""Diagnose  faults on electronic equipment and circuits within automation systems"" (""ccsau32.pdf"", Current, Original)","[ccsau35] ""Diagnosis faults on automation control desks and platforms"" (""ccsau35.pdf"", Current, Original)"
Pair 961,0.845,"[imihr3] ""Hire goods, equipment, vehicles or services to customers using electronic methods"" (""imihr3.pdf"", Current, Original)","[imihr4] ""Hire goods, equipment, vehicles or services to customers in face to face settings"" (""imihr4.pdf"", Current, Original)"
Pair 962,0.845,"[imivf07] ""Carry out light vehicle four wheel alignment"" (""imivf07.pdf"", Current, Original)","[imivf07] ""Carry out light vehicle four wheel alignment"" (""imivf07l.pdf"", Current, Original)"
Pair 963,0.845,"[ccscv27] ""Facilitate the use of interactive exhibits legacy"" (""ccscv27l.pdf"", Legacy, Original)","[ccscvo7] ""Facilitate the use of interactive exhibits "" (""ccscvo7.pdf"", Current, Original)"
Pair 964,0.845,"[mpqdo09] ""Contribute to the specified drilling programme"" (""mpqdo09.pdf"", Current, Original)","[mpqmg19] ""Contribute to the specified drilling programme"" (""mpqmg19.pdf"", Current, Original)"
Pair 965,0.845,"[sfjhf23] ""Carry out effective evaluation of projects and processes"" (""sfjhf23.pdf"", Current, Original)","[sfjhf23] ""Ensure an effective approach to project and process evaluation legacy"" (""sfjhf23l.pdf"", Legacy, Original)"
Pair 966,0.845,"[astlb3] ""Monitor ongoing entitlement to benefits"" (""astlb3.pdf"", Current, Original)","[finlb3] ""Monitor ongoing entitlement to benefits"" (""fsplb3.pdf"", Current, Original)"
Pair 967,0.845,"[lancs69] ""Monitor and maintain health and safety when working with horses"" (""lancs69.pdf"", Current, Original)","[lanfar1] ""Monitor and maintain health and safety"" (""lanfar1.pdf"", Current, Original)"
Pair 968,0.845,"[imimet02] ""Remove, renew and refit electrical components following accident damage "" (""imimet02.pdf"", Current, Original)","[imimet03] ""Remove, renew and refit trim components following accident damage"" (""imimet03.pdf"", Current, Original)"
Pair 969,0.845,"[sfhdt06] ""Design and manufacture simple partial removable prostheses"" (""sfhdt06.pdf"", Current, Original)","[sfhdt07] ""Design and manufacture complex partial removable prostheses"" (""sfhdt07.pdf"", Current, Original)"
Pair 970,0.845,"[ccstp55] ""Set up flying and install flown components legacy"" (""ccstp55l.pdf"", Legacy, Original)","[ccsttl32] ""Set up flying and install flown components for live productions"" (""ccsttl32.pdf"", Current, Original)"
Pair 971,0.845,"[pplrs09] ""Respond to abnormal working situations in the rail industry"" (""pplrs09.pdf"", Current, Original)","[pplrs09] ""Respond to abnormal working conditions in the rail industry"" (""pplrs09l.pdf"", Current, Original)"
Pair 972,0.845,"[sfjdc2] ""Provide support to those attending courts and tribunals"" (""sfjdc2.pdf"", Current, Original)","[sfjdc2] ""Provide support to those attending courts and tribunals"" (""sfjdc2l.pdf"", Current, Original)"
Pair 973,0.845,"[lanleo21] ""Service and repair suspension systems on land-based equipment legacy"" (""lanleo21l.pdf"", Legacy, Original)","[lanleo21] ""Service and repair suspension systems on land-based equipment"" (""service-and-repair-suspension-systems-on-land-based-equipment-lanleo21.pdf"", Current, Original)"
Pair 974,0.845,"[sfjdc3] ""Support proceedings in courts and tribunals"" (""sfjdc3.pdf"", Current, Original)","[sfjdc3] ""Support proceedings in courts and tribunals"" (""sfjdc3l.pdf"", Current, Original)"
Pair 975,0.845,"[pplrs10] ""Handover and dispose of trains"" (""pplrs10.pdf"", Current, Original)","[pplrs10] ""Hand over and dispose of trains"" (""pplrs10l.pdf"", Current, Original)"
Pair 976,0.845,"[ccsmpr15] ""Use digital production technology in composing music"" (""ccsmpr15.pdf"", Current, Original)","[ccsmpr7] ""Use digital production technology in arranging music"" (""ccsmpr7.pdf"", Current, Original)"
Pair 977,0.845,"[imiarbbp06] ""Identify and rectify minor repairs to motor vehicle body panels"" (""imiarbbp06.pdf"", Current, Original)","[imiarbbp06] ""Repair motor vehicle exterior body panels - legacy"" (""imiarbbp06l.pdf"", Legacy, Original)"
Pair 978,0.845,"[cfabaf173] ""Review and maintain work in a business environment"" (""cfabaf173.pdf"", Current, Original)","[sfjpk1.5] ""Review and maintain work in a business environment"" (""sfjpk1.5.pdf"", Current, Tailored)"
Pair 979,0.845,"[fspgi25] ""Review underwriting decisions to accept risks"" (""fspgi25.pdf"", Current, Original)","[fspgi25] ""Review underwriting decisions to accept risks legacy"" (""fspgi25l.pdf"", Legacy, Original)"
Pair 980,0.845,"[lanleo14] ""Service and repair braking systems on land-based equipment"" (""lanleo14.pdf"", Current, Original)","[lanleo14] ""Service and repair braking systems on land-based equipment; legacy"" (""lanleo14l.pdf"", Legacy, Original)"
Pair 981,0.845,"[lsiwwp202] ""202 provide access to knowledge and information."" (""lsiwwp202.pdf"", Current, Original)","[lsiwwp202v2] ""Provide access to knowledge and information"" (""lsiwwp202v2.pdf"", Current, Original)"
Pair 982,0.845,"[fsplpi05] ""Authorise the underwriting of life, pensions and investment contracts"" (""fsplpi05.pdf"", Current, Original)","[fsplpi05] ""Authorise the underwriting of life, pensions and investment contracts legacy"" (""fsplpi05l.pdf"", Legacy, Original)"
Pair 983,0.845,"[astll4] ""Negotiate tenancy / licence agreements"" (""astll4.pdf"", Current, Original)","[astrl14] ""Negotiate tenancy/licence agreements"" (""astrl14.pdf"", Current, Original)"
Pair 984,0.845,"[lanenc2] ""Consult and work with the local community"" (""lanenc2.pdf"", Current, Original)","[lanenc2] ""Consult and work with the local community legacy"" (""lanenc2l.pdf"", Legacy, Original)"
Pair 985,0.845,"[pplbacem41] ""Evaluate and develop your own knowledge, understanding and skills in the bus/coach engineering and maintenance environment"" (""pplbacem41.pdf"", Current, Original)","[ppldt10] ""Evaluate and develop your own knowledge, understanding and skills in the driver training industry"" (""ppldt10.pdf"", Current, Original)"
Pair 986,0.845,"[cogesa11.5] ""Plan the disposal of explosive substances and/or articles (complex)"" (""cogesa11.5.pdf"", Current, Original)","[cogesa11.6] ""Plan the disposal of explosive substances and/or articles (non-complex)"" (""cogesa11.6.pdf"", Current, Original)"
Pair 987,0.845,"[sumevts13] ""Plan and implement work methods and resources to achieve environmental technology systems installation requirements"" (""sumevts13.pdf"", Current, Original)","[sumsste9] ""Plan work methods, resources and systems to meet building services engineering project work requirements - legacy"" (""sumsste9l.pdf"", Legacy, Original)"
Pair 988,0.84,"[cfasma1.1v3.0] ""Plan, manage and evaluate social marketing research programmes"" (""cfasma1.1v3.0.pdf"", Current, Original)","[sfjccab1.1] ""Plan, manage and evaluate social marketing research programmes"" (""sfjccab1.1.pdf"", Current, Tailored)"
Pair 989,0.84,"[fspba01] ""Set up bank accounts for customers"" (""fspba01.pdf"", Current, Original)","[fspba1] ""Set up bank accounts for customers"" (""fspsba01.pdf"", Current, Original)"
Pair 990,0.84,"[ppltp07] ""Apply laws and regulations in transport planning"" (""ppltp07.pdf"", Current, Original)","[ppltpts05] ""Work within laws and regulations in transport"" (""ppltpts05.pdf"", Current, Original)"
Pair 991,0.84,"[ppltp08] ""Manage data for transport planning"" (""ppltp08.pdf"", Current, Original)","[ppltpts06] ""Collect, retrieve, analyse and apply data and information for transport planning"" (""ppltpts06.pdf"", Current, Original)"
Pair 992,0.84,"[sempdi4_15] ""Plan and control new product design benchmarking activities"" (""sempdi4_15.pdf"", Current, Original)","[sempdi4_26] ""Plan and control new product manufacturing process benchmarking activities"" (""sempdi4_26.pdf"", Current, Original)"
Pair 993,0.84,"[fspamfpi03] ""Contribute to reports for mortgage or financial planning clients"" (""fspamfpi03.pdf"", Current, Original)","[fspamfpi03] ""Contribute to reports for mortgage and/or financial planning clients legacy"" (""fspamfpi03l.pdf"", Legacy, Original)"
Pair 994,0.84,"[cogss13] ""Contribute to the health and safety of the working environment within safety services"" (""cogss13.pdf"", Current, Original)","[cogto3] ""Contribute to the health and safety of the working environment"" (""cogto3.pdf"", Current, Original)"
Pair 995,0.84,"[ccsapae3] ""Classify, compile and maintain data on the material remains and intangible heritage of past communities"" (""ccsapae3.pdf"", Current, Original)","[ccscv9] ""Catalogue objects and collections within a cultural venue legacy"" (""ccscv9l.pdf"", Legacy, Original)"
Pair 996,0.84,"[sfjib10] ""Provide specialist housing legal advice and progress cases  with clients"" (""provide-specialist-housing-legal-advice-and-progress-cases--with-clients-sfjib10.pdf"", Current, Original)","[sfjib10] ""Provide specialist housing legal advice"" (""sfjib10.pdf"", Current, Original)"
Pair 997,0.84,"[cogesa11.19] ""Carry out post-disposal tasks for explosive substances and/or articles"" (""cogesa11.19.pdf"", Current, Original)","[cogesa3.19] ""Carry out post-trial or post-test tasks relating to explosive substances and/or articles"" (""cogesa3.19.pdf"", Current, Original)"
