,NOS 1,NOS 2
Pair 829,"('probl2', 'contribute to health and safety in the blasting workplace', 'probl2.pdf')","('prodo02', 'contribute to health and safety in the drilling workplace', 'prodo02.pdf')"
Pair 830,"('procc12', 'form ceramic and associated products by joining or assembling', 'procc12.pdf')","('promc20', 'form ceramic and associated products by joining or assembling ', 'promc20.pdf')"
Pair 831,"('procc14', 'decorate ceramic and associated products by surface alteration ', 'procc14.pdf')","('promc21', 'decorate ceramic and associated products by surface alteration', 'promc21.pdf')"
Pair 832,"('procc17', 'fire ceramic products using a kiln ', 'procc17.pdf')","('promc27', 'fire ceramic products using a kiln', 'promc27.pdf')"
Pair 833,"('proctn407', 'develop your own skills and manage your time', 'proctn407.pdf')","('prohbc1', 'manage yourself', 'prohbc1.pdf')"
Pair 834,"('proctn408', 'contribute to the development needs of teams and individuals', 'proctn408.pdf')","('prohbc9', 'contribute to the development of teams and individuals', 'prohbc9.pdf')"
Pair 835,"('procwp118', 'carry out planned maintenance procedures on process equipment', 'procwp118.pdf')","('procwp119', 'adjust process equipment to meet operating requirements', 'procwp119.pdf')"
Pair 836,"('procwp120', 'maintain the condition of process equipment', 'procwp120.pdf')","('sksmmf11v2', 'maintain the condition of process equipment', 'sksmmf11v2.pdf')"
Pair 837,"('procwp121', 'analyse and interpret the results of tests on process products or equipment', 'procwp121.pdf')","('sksmmf12v2', 'analyse and interpret the results of tests on process products or equipment', 'sksmmf12v2.pdf')"
Pair 838,"('procwp152', 'maintain equipment in working order in a fibreboard operation', 'procwp152.pdf')","('proem004', 'maintain equipment in working order ', 'proem004.pdf')"
Pair 839,"('procwp156', 'support the use of resources in fibreboard operations', 'procwp156.pdf')","('proemb1', 'support the efficient use of resources', 'proemb1.pdf')"
Pair 840,"('prodod35', 'operate specialised power tools and equipment', 'prodod35.pdf')","('promg50', 'operate specialised powered tools and equipment in mines', 'promg50.pdf')"
Pair 841,"('prodpp300', 'control digital printing machines', 'prodpp300l.pdf')","('prompr29', 'control digital colour printing machines', 'prompr29.pdf')"
Pair 842,"('prodso7', 'fixed sawing of dimension stone ', 'prodso7.pdf')","('prodso9', 'cnc and stone lathe operations', 'prodso9.pdf')"
Pair 843,"('sfhci.a ', 'produce conventional radiographic images for diagnostic purposes', 'produce-conventional-radiographic-images-for-diagnostic-purposes-sfhci.pdf')","('sfhci.a ', 'produce conventional radiographic images for diagnostic purposes', 'sfhci.a .pdf')"
Pair 844,"('sfhci.a6 ', 'produce conventional radiographic images for diagnostic purposes using mobile imaging equipment', 'produce-conventional-radiographic-images-for-diagnostic-purposes-using-mobile-imaging-equipment-sfhci.pdf')","('sfhci.a6 ', 'produce conventional radiographic images for diagnostic purposes using mobile imaging equipment', 'sfhci.a6 .pdf')"
Pair 845,"('sfhci.m', 'produce dual-energy x-ray absorptiometry (dxa) scans for diagnostic purposes', 'produce-dual-energy-x-ray-absorptiometry-(dxa)-scans-for-diagnostic-purposes-sfhci.pdf')","('sfhci.m', 'produce dual-energy x-ray absorptiometry (dxa) scans for diagnostic purposes', 'sfhci.m.pdf')"
Pair 846,"('sfhci.n', 'produce forensic images of children for  signs of suspected physical abuse ', 'produce-forensic-images-of-children-for--signs-of-suspected-physical-abuse--sfhci.pdf')","('sfhci.n', 'produce forensic images of children for  signs of suspected physical abuse ', 'sfhci.n.pdf')"
Pair 847,"('sfhci.o', 'produce forensic images of the deceased ', 'produce-forensic-images-of-the-deceased--sfhci.pdf')","('sfhci.o', 'produce forensic images of the deceased ', 'sfhci.o.pdf')"
Pair 848,"('proem005', 'train new operators ', 'proem005.pdf')","('prohb005', 'train new operators', 'prohb005.pdf')"
Pair 849,"('profbo012', 'lead teams and individuals in fibreboard operations', 'profbo012.pdf')","('prohbc12', 'lead the work of teams and individuals to achieve their objectives', 'prohbc12.pdf')"
Pair 850,"('profen17', 'comply with building regulations/standards related to windows, doors and conservatories in the fenestration industry ', 'profen17.pdf')","('profis11', 'comply with building regulations in the fenestration industry', 'profis11.pdf')"
Pair 851,"('proff10', 'apply specialist finishes using modern or traditional polishing', 'proff10.pdf')","('proffi373', 'finish furniture by modern and traditional polishing - legacy', 'proffi373l.pdf')"
Pair 852,"('proff13', 'prepare production furniture for finishing  ', 'proff13.pdf')","('proffi206', 'prepare to apply finishing processes to production furniture - legacy', 'proffi206l.pdf')"
Pair 853,"('proff14', 'check, pack and store furniture items and components', 'proff14.pdf')","('proffi104', 'pack and store furniture items and components ', 'proffi104.pdf')"
Pair 854,"('proff6', 'apply stains, seals, basecoats and finishes to production furniture  ', 'proff6.pdf')","('proffi207', 'apply finishing processes to production furniture - legacy', 'proffi207l.pdf')"
Pair 855,"('proff7', 'prepare hand-crafted furniture for finishing  ', 'proff7.pdf')","('proffi221', 'prepare hand-crafted furniture for furnishing - legacy', 'proffi221l.pdf')"
Pair 856,"('proff8', 'apply stains, sealers and primers by hand  ', 'proff8.pdf')","('proffi220', 'apply stains, sealers and primers - legacy', 'proffi220l.pdf')"
Pair 857,"('proff9', 'apply polishes, waxes, oils, varnishes and lacquers by hand   ', 'proff9.pdf')","('proffi239', 'finish hand-crafted furniture - legacy', 'proffi239l.pdf')"
Pair 858,"('proffi210', 'prepare to upholster standard items of modern furniture   ', 'proffi210.pdf')","('prousf3', 'prepare to upholster standard items of furniture', 'prousf3.pdf')"
Pair 859,"('proffi234', 'fit and fix work surfaces   ', 'proffi234.pdf')","('proffi363', 'install complex work surfaces  ', 'proffi363.pdf')"
Pair 860,"('proffi245', 'survey a location for the placement of furniture components', 'proffi245.pdf')","('proffi408', 'survey a location for the placement of kitchen, bedroom or bathroom furniture components', 'proffi408.pdf')"
Pair 861,"('proffi313', 'produce cushions and/or bolsters and padded items ', 'proffi313.pdf')","('prousf9', 'produce cushions and/or bolsters and padded items', 'prousf9.pdf')"
Pair 862,"('proffi317', 'clarify design briefs and research information', 'proffi317.pdf')","('prosf317', 'clarify design briefs and research information  ', 'prosf317.pdf')"
Pair 863,"('proffi352', 'define and develop standard operating procedures within the furniture, furnishings and interiors industry', 'proffi352.pdf')","('prousf05', 'define and develop standard operating procedures within the furniture, furnishings and interiors industry      ', 'prousf05.pdf')"
Pair 864,"('proffi409', 'plan and manage design work in the kitchen, bedroom and bathroom industry', 'proffi409.pdf')","('prosf368', 'plan and manage design work ', 'prosf368.pdf')"
Pair 865,"('proffi411', 'design solutions to meet technical and ergonomic requirements for kitchen, bedroom and bathroom design', 'proffi411.pdf')","('sfhchs204', 'design solutions to meet technical, scientific and/or engineering requirements for healthcare', 'sfhchs204.pdf')"
Pair 866,"('profi2', 'contribute to the work of others in fenestration installation', 'profi2.pdf')","('propco3', 'contribute to the work of others in precast concrete operations', 'propco3.pdf')"
Pair 867,"('profis18', 'preparation for fire-resistant glazing', 'profis18.pdf')","('profrg1', 'principles and preparation of fire resistant glazing', 'profrg1.pdf')"
Pair 868,"('profis19', 'establish the performance of fire-resistant glazing', 'profis19.pdf')","('profrg2', 'evidence of fire performance in fire resistant glazing', 'profrg2.pdf')"
Pair 869,"('profis23', 'installation of metal door and frame systems in fire-resistant glazing', 'profis23.pdf')","('profrg6', 'metal door and frame systems in fire resistant glazing', 'profrg6.pdf')"
Pair 870,"('profis25', 'installation of fire-resistant glazing', 'profis25.pdf')","('profrg8', 'installation of fire resistant glazing', 'profrg8.pdf')"
Pair 871,"('profsb02', 'contribute to the work of the installation team  legacy', 'profsb02l.pdf')","('proglaze2', 'contribute to the work of the glazing team', 'proglaze2.pdf')"
Pair 872,"('progen03 ', 'develop new work procedures ', 'progen03.pdf')","('propco4', 'develop new work procedures in precast concrete operations', 'propco4.pdf')"
Pair 873,"('progm01', 'maintain health and safety within the glass manufacturing working environment', 'progm01.pdf')","('propgsf1', 'maintain health and safety within the production of glass supporting fabrications working environment', 'propgsf1.pdf')"
Pair 874,"('progm04', 'handle materials or components in glass manufacturing', 'progm04.pdf')","('propgsf4', 'handle materials or components in the production of glass supporting fabrications ', 'propgsf4.pdf')"
Pair 875,"('progm05', 'check the quality of products in glass manufacturing', 'progm05.pdf')","('progp05', 'check the quality of products in glass processing', 'progp05.pdf')"
Pair 876,"('progm07', 'receive glass raw materials for manufacturing operations', 'progm07.pdf')","('propco13', 'receive raw materials for precast concrete manufacturing operations', 'propco13.pdf')"
Pair 877,"('progm19', 'develop new work procedures in glass manufacturing', 'progm19.pdf')","('propgsf15', 'develop new work procedures in the production of glass supporting fabrications', 'propgsf15.pdf')"
Pair 878,"('progp11', 'decorate glass products by removing material', 'progp11.pdf')","('progp12', 'decorate glass products by applying additional material', 'progp12.pdf')"
Pair 879,"('progp20', 'set up equipment for operations in glass container processing', 'progp20.pdf')","('progp23', 'set up equipment for operations in glass processing', 'progp23.pdf')"
Pair 880,"('prohsem4.7', 'conduct health and safety risk assessment in extractive industries sites', 'prohsem4.7.pdf')","('prohsem4.8', 'conduct environmental risk assessment in extractive industries sites', 'prohsem4.8.pdf')"
Pair 881,"('promc25', 'load and prepare the kiln for firing (trucks/cars)', 'promc25.pdf')","('promc26', 'load and prepare the kiln for firing (single layer)', 'promc26.pdf')"
Pair 882,"('promg22', 'erect and dismantle plant in mines ', 'promg22.pdf')","('promg23', 'operate guidance systems to form holes    ', 'promg23.pdf')"
Pair 883,"('promg27', 'process materials to specification ', 'promg27.pdf')","('propo07', 'process materials to specification', 'propo07.pdf')"
Pair 884,"('promg28', 'receive store and handle materials for processing ', 'promg28.pdf')","('propo09', 'receive, store and handle materials for processing', 'propo09.pdf')"
Pair 885,"('promg29', 'carry out simple testing operations ', 'promg29.pdf')","('propo08', 'carry out simple testing operations', 'propo08.pdf')"
Pair 886,"('promg37', 'measure and set out dimensional control for the drilling requirement', 'promg37.pdf')","('proms4', 'measure and set out dimensional work control for the drilling requirements ', 'proms4.pdf')"
Pair 887,"('promg44', 'solve processing problems ', 'promg44.pdf')","('propo12', 'solve processing problems', 'propo12.pdf')"
Pair 888,"('promm15', 'gain permission for mine extraction ', 'promm15.pdf')","('proms12', 'gain permissions for mine extraction', 'proms12.pdf')"
Pair 889,"('promm22', 'monitor method of mine working ', 'promm22.pdf')","('proms17', 'monitor method of mine working', 'proms17.pdf')"
Pair 890,"('promm9', 'manage the receipt, storage or dispatch of goods  ', 'promm9.pdf')","('prosum14', 'manage the receipt, storage or dispatch of goods', 'prosum14.pdf')"
Pair 891,"('promp259', 'maintain screen printing machines   ', 'promp259.pdf')","('promp275', 'maintain automatic/semi-automatic multi-colour over-printing machinery  ', 'promp275.pdf')"
Pair 892,"('promp267', 'control sheet-fed multi-unit lithographic printing machines', 'promp267.pdf')","('prompr31', 'manage sheet-fed multi-unit lithographic printing machines', 'prompr31.pdf')"
Pair 893,"('prompr23', 'maintaining mechanical equipment', 'prompr23.pdf')","('semem3-06', 'maintaining mechanical equipment', 'semem306.pdf')"
Pair 894,"('prompr25', 'diagnose and determine the causes of faults in mechanical plant and equipment', 'prompr25.pdf')","('prompr26', 'diagnose and determine the causes of faults in electrical plant and equipment', 'prompr26.pdf')"
Pair 895,"('prompr43', 'identify and prioritise business improvement opportunities', 'prompr43.pdf')","('sembit5-01', 'identify and prioritise business improvement opportunities', 'sembit501.pdf')"
Pair 896,"('prompr46', 'project manage a business improvement programme', 'prompr46.pdf')","('sembit5-07', 'project manage a business improvement programme', 'sembit507.pdf')"
Pair 897,"('prompr48', 'applying total productive maintenance', 'prompr48.pdf')","('sembit3-12', 'applying total productive maintenance (tpm)', 'sembit312.pdf')"
Pair 898,"('prompr49', 'creating standard operating procedures (sop)', 'prompr49.pdf')","('sembit3-16', 'creating standard operating procedures (sop)', 'sembit316.pdf')"
Pair 899,"('promr09', 'acquire, store and issue resources to provide service delivery', 'promr09.pdf')","('sfjwm10', 'acquire, store and issue resources to provide service delivery', 'sfjwm10.pdf')"
Pair 900,"('promt11', 'maintaining electrical equipment', 'promt11.pdf')","('semem3-12', 'maintaining electrical equipment', 'semem312.pdf')"
Pair 901,"('promt14', 'carrying out preventative planned maintenance on electrical equipment', 'promt14.pdf')","('semem3-15', 'carrying out preventative planned maintenance on electrical equipment', 'semem315.pdf')"
Pair 902,"('promt8', 'confirm work activities and resources for the work', 'promt8.pdf')","('sksvr209', '[confirm work activities and resources for the work]', 'sksvr209.pdf')"
Pair 903,"('propam516', 'place orders with suppliers', 'propam516.pdf')","('propam517', 'monitor & progress the delivery of orders', 'propam517.pdf')"
Pair 904,"('propbpo10', 'contribute to sustainability when performing building products operations', 'propbpo10.pdf')","('propco12', 'contribute to sustainability in precast concrete operations', 'propco12.pdf')"
